,Description,,,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish,Vietnamese
,,,,,en,ar,zh-CN,zh-TW,nl,fil,fi,fr,de,hi,id,it,ko,ja,ms,no,pl,pt,pt,ru,es,sv,th,tr,vi
,,,,,Piano Tiles Ultimate,بيانو تايلز 2,钢琴块2,鋼琴塊2,Pianotegels 2,Piano Tiles 2,Piano -laatat 2,Piano Tiles 2,Piano Tiles 2,पियानो टाइल्स 2,Piano Tiles 2,Piano Tiles 2,피아노 타일 2,ピアノタイル 2,Piastrelle di piano 2,Piastrelle di piano 2,Płytki fortepianowe 2,Piano Tiles 2,Piano Tiles 2,Плитки фортепиано 2,Piano Tiles 2,Piano Tiles 2,กระเบื้องเปียโน 2,Piano Tiles 2,Gạch piano 2
游戏名称,piano tiles 2,,,text_home,Home,الرئيسية,首页,首頁,Thuis,Tahanan,Koti,Accueil,Hauptmenü,घर,Utama,Pagina iniziale,홈,ホーム,Casa,Casa,Dom,Página inicial,Página inicial,Домой,Página Inicial,Hem,บ้าน,Ana Sayfa,Trang chủ
,home,,,text_music,Music,الموسيقى,音乐,音樂,Muziek,Musika,Musiikki,Musique,Musik,संगीत,Lagu,Musica,뮤직,音楽,Musica,Musica,Muzyka,Música,Música,Музыка,Música,musik,ดนตรี,Müzik,Âm nhạc
,music,,,text_hall,Hall,قاعة,挑战,挑戰,Hal,hamon,sali,Salle,Halle,बड़ा कमरा,Arena,Lega,홀,挑戦,Sala,Sala,Hala,Salão,Salão,Арена,Salón,utmaning,ห้องโถง,Salon,Sảnh
,hall,,,text_setting,Settings,إعدادات,设置,設置,Instellingen,Mga setting,asetukset,Paramètres,Einstellungen,समायोजन,Pengaturan,Opzioni,설정,設定,Impostazioni,Impostazioni,Ustawienia,Configurações,Configurações,Настройки,Ajustes,inställningar,การตั้งค่า,Ayarlar,Cài đặt
,setting,,,text_level,Level,المستويات,等级,等級,Niveau,Antas,Taso,Niveau,Stufe,स्तर,tingkat,Livelli,단계,レベル,Livello,Livello,Poziom,Nível,Nível,Уровень,Nivel,Nivå,ระดับ,Seviye,Mức độ
,等级tag,,,text_selection,Mod,النخبة,精选,精選,Selectie,Pagpili,Valinta,Sélection,Auswahl,चयन,Terpilih,Selezione,특선,精選,Selezione,Selezione,Wybór,Seleção,Seleção,Лучшее,Selección,Urval,การเลือก,Seçim,Lựa chọn
,购买tag,,,text_favorites,<3,المفضلة,收藏,收藏,Favorieten,Mga Paborito,Suosikit,Favoris,Favoriten,पसंदीदा,Favorit,Collezione,좋아,収集,Preferiti,Preferiti,Ulubione,Favoritos,Favoritos,Избранное,Favoritas,Favoriter,รายการโปรด,Favoriler,Yêu thích
,收藏tag,,,more_album,No Songs?,تتفضل بانتظار الاكثر من البوم,更多专辑敬请期待...,更多專輯敬請期待...,Meer albums te verwachten ...,Higit pang mga album na inaasahan ...,Lisää albumeja odotettavissa ...,Plus d'albums à venir...,Mehr Alben kommen bald...,अधिक एल्बम अपेक्षित होने की उम्मीद है ...,Lebih banyak album harap ditunggu,più selezioni da aspettare...,더 많은 앨범 곧 나올 거예요...,より多くのアルバムを楽しんで...,Altri album ci si aspetta ...,Altri album ci si aspetta ...,"Więcej albumów, których można się spodziewać…","Por favor, aguarde por mais álbuns...","Por favor, aguarde por mais álbuns...",Новые альбомы скоро...,Sigue pendiente de más álbumes...,Fler album som kan förväntas ...,คาดว่าจะมีอัลบั้มเพิ่มเติม ...,Daha fazla albüm yakında…,Nhiều album được mong đợi
