ActivityNo,ActivityTid,StageId,Mid,MName,UnlockScore,RewardItem,RewardDiamond,RewardCoin,RewardLife,RewardSong,
活动类型：1民谣 2古典 3流行 4活动,活动标题TID,关卡ID,歌曲ID,歌曲名,解锁条件（分数）,"奖励道具(道具ID,数量|...)",奖励钻石,奖励金币,奖励体力,,
1,journey_activity_title1,101,100323,伦敦铁桥垮下来,420,,,,,,
,,102,100363,松饼人,650,,,,,,
,,103,100332,十个小印第安人,840,"0,1|2,1",5,150,,,
,,104,100341,我们同在一起,700,,,,,,
,,105,100368,小熊上山,900,"0,1|1,2|2,2",10,150,,,
,,106,100621,小小汉斯,1000,,,,,,
,,107,100243,第一个圣诞节,1000,,,,,,
,,108,100043,赛马,1300,"0,2|1,2|2,2",15,300,,,
2,journey_activity_title2,201,100628,摇篮曲,500,,,,,,
,,202,100097,少女的祈祷,700,,,,,,
,,203,100162,哈巴涅拉舞曲,900,"0,1|2,2",5,150,,,
,,204,100112,甜蜜变奏曲,1000,,,,,,
,,205,100410,悲怆奏鸣曲 第二章,950,"0,1|1,2|2,2",10,150,,,
,,206,100025,康康舞曲,1000,,,,,,
,,207,100330,查尔达斯,1100,,,,,,
,,208,100059,月光奏鸣曲  第三章,1100,"0,2|1,2|2,2",15,300,,,
3,journey_activity_title3,301,100956,黑白滤镜,600,,,,,,
,,302,100957,别停留,700,,,,,,
,,303,100792,今天过得好吗,900,"0,1|2,1",5,150,,,
,,304,100438,风动草,1100,,,,,,
,,305,100461,四季-秋,1300,"0,1|1,2|2,2",10,150,,,
,,306,100793,吃遍世界的美食家,1050,,,,,,
,,307,100259,荣耀歌,1000,,,,,,
,,308,100433,筑梦,1300,"0,2|1,2|2,2",15,300,,,
4,journey_activity_title4,501,100956,黑白滤镜,600,,,,,,三周年
,,502,100957,别停留,700,,,,,,
,,503,100792,今天过得好吗,900,"0,1|2,1",5,150,,,
,,504,100791,忆未完,950,,,,,,
,,505,100461,四季-秋,1300,"0,1|1,2|2,2",10,150,,,
,,506,100793,吃遍世界的美食家,1050,,,,,,
,,507,100259,荣耀歌,1000,,,,,,
,,508,100795,Love Song,1400,"0,2|1,2|2,2",15,300,,,
6,journey_activity_title5,601,100323,伦敦铁桥垮下来,420,,,,,,
,,602,100363,松饼人,650,,,120,,100962,
,,603,100332,十个小印第安人,840,"0,1|2,1",5,150,,,
,,604,100341,我们同在一起,700,,,200,,100961,
,,605,100368,小熊上山,900,"0,1|1,2|2,2",10,150,,,
,,606,100621,小小汉斯,1000,,,,,,
,,607,100243,第一个圣诞节,1000,,,,,,
,,608,100043,赛马,1300,"0,2|1,2|2,2",15,300,,,
7,journey_activity_title6,701,100323,伦敦铁桥垮下来,420,,,,,,
,,702,100363,松饼人,650,,,120,,100963,
,,703,100332,十个小印第安人,840,"0,1|2,1",5,150,,,
,,704,100341,我们同在一起,700,,,200,,100964,
,,705,100368,小熊上山,900,"0,1|1,2|2,2",10,150,,,
,,706,100621,小小汉斯,1000,,,,,,
,,707,100243,第一个圣诞节,1000,,,,,,
,,708,100043,赛马,1300,"0,2|1,2|2,2",15,300,,,
8,journey_activity_title7,801,100323,伦敦铁桥垮下来,420,,,,,,
,,802,100363,松饼人,650,,,120,,100965,
,,803,100332,十个小印第安人,840,"0,1|2,1",5,150,,,
,,804,100341,我们同在一起,700,,,200,,100966,
,,805,100368,小熊上山,900,"0,1|1,2|2,2",10,150,,,
,,806,100621,小小汉斯,1000,,,,,,
,,807,100243,第一个圣诞节,1000,,,,,,
,,808,100043,赛马,1300,"0,2|1,2|2,2",15,300,,,
9,journey_activity_title8,901,100323,伦敦铁桥垮下来,420,,,,,,
,,902,100363,松饼人,650,,,120,,100968,
,,903,100332,十个小印第安人,840,"0,1|2,1",5,150,,,
,,904,100341,我们同在一起,700,,,200,,100967,
,,905,100368,小熊上山,900,"0,1|1,2|2,2",10,150,,,
,,906,100621,小小汉斯,1000,,,,,,
,,907,100243,第一个圣诞节,1000,,,,,,
,,908,100043,赛马,1300,"0,2|1,2|2,2",15,300,,,
10,journey_activity_title9,1001,100543,La Czarine-Mazurka,1000,,,,,,
,,1002,100417,A Real Slow Drag,1056,,,,,,
,,1003,100041,The Entertainer,1576,"0,1|2,1",5,150,,,
,,1004,100024,Tritsch Tratsch Polka,902,,,,,,
,,1005,100048,Radetzky March,370,"0,1|1,2|2,2",10,150,,,
,,1006,100236,Peacherine Rag,1036,,,,,,
,,1007,100256,Original Rags,876,,,,,,
,,1008,100040,Hungarian Dance No.5,890,"0,2|1,2|2,2",15,300,,,
11,journey_activity_title10,1101,100506,The Dying Poet,355,,,,,,
,,1102,100521,Fleurette-Romance Op.75 No.1,407,,,,,,
,,1103,100117,Piano Concerto No.1,382,"0,1|2,1",5,150,,,
,,1104,100280,Romance,427,,,,,,
,,1105,100064,Liebestraum No.3,380,"0,1|1,2|2,2",10,150,,,
,,1106,100406,Entr'acte-Gavotte Op.13,435,,,,,,
,,1107,100115,Elegie Op.3 No.1,474,,,,,,
,,1108,100135,Danse Macabre,654,"0,2|1,2|2,2",15,300,,,
12,journey_activity_title11,1201,100323,伦敦铁桥垮下来,253,,,,,,
,,1202,100341,我们同在一起,410,,,,,,
,,1203,100243,第一个圣诞节,406,"0,1|2,1",5,150,,,
,,1204,100363,松饼人,337,,,,,,
,,1205,100368,小熊上山,511,"0,1|1,2|2,2",10,150,,,
,,1206,100332,十个小印第安人,420,,,,,,
,,1207,100621,小小汉斯,354,,,,,,
,,1208,100043,赛马,586,"0,2|1,2|2,2",15,300,,,
,,1209,100323,伦敦铁桥垮下来,253,,,,,,
,,1210,100341,我们同在一起,410,,,,,,
,,1211,100243,第一个圣诞节,406,,5,150,,,
,,1212,100363,松饼人,337,,,,,,
,,1213,100368,小熊上山,511,,10,150,,,
,,1214,100332,十个小印第安人,420,,,,,,
,,1215,100621,小小汉斯,354,,,,,,
,,1216,100043,赛马,586,,15,300,,,
13,journey_activity_title2,1301,100628,摇篮曲,424,,,,,,
,,1302,100097,少女的祈祷,230,,,,,,
,,1303,100410,悲怆奏鸣曲 第二章,560,"0,1|2,1",5,150,,,
,,1304,100112,甜蜜变奏曲,679,,,,,,
,,1305,100162,哈巴涅拉舞曲,462,"0,1|1,2|2,2",10,150,,,
,,1306,100330,查尔达斯,614,,,,,,
,,1307,100025,康康舞曲,281,,,,,,
,,1308,100059,月光奏鸣曲  第三章,726,"0,2|1,2|2,2",15,300,,,
,,1309,100628,摇篮曲,424,,,,,,
,,1310,100097,少女的祈祷,230,,,,,,
,,1311,100410,悲怆奏鸣曲 第二章,560,,5,150,,,
,,1312,100112,甜蜜变奏曲,679,,,,,,
,,1313,100162,哈巴涅拉舞曲,462,,10,150,,,
,,1314,100330,查尔达斯,614,,,,,,
,,1315,100025,康康舞曲,281,,,,,,
,,1316,100059,月光奏鸣曲  第三章,726,,15,300,,,
14,journey_activity_title3,1401,100279,Fall,453,,,,,,
,,1402,100792,How is your day,295,,,,,,
,,1403,100956,Monochrome filter,436,"0,1|2,1",5,150,,,
,,1404,100433,Build The Dream,748,,,,,,
,,1405,100461,Four Seasons - Autumn,567,"0,1|1,2|2,2",10,150,,,
,,1406,100957,Don't stay,366,,,,,,
,,1407,100793,Foodie who tastes all over the world,409,,,,,,
,,1408,100259,Angels we have heard on high,520,"0,2|1,2|2,2",15,300,,,
,,1409,100628,Fall,453,,,,,,
,,1410,100097,How is your day,295,,,,,,
,,1411,100410,Monochrome filter,436,,5,150,,,
,,1412,100112,Build The Dream,748,,,,,,
,,1413,100162,Four Seasons - Autumn,567,,5,150,,,
,,1414,100330,Don't stay,366,,,,,,
,,1415,100025,Foodie who tastes all over the world,409,,,,,,
