,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
,,en,ar,zh-CN,zh-TW,nl,fil,fi,fr,de,hi,id,it,ko,ja,ms,no,pl,pt,pt,ru,es,sv,th,tr,tr,vi
1,Little Star,Twinkle Twinkle Little Star,بريق بريق يا نجمة الصغيرة,一闪一闪小星星,一閃一閃小星星,"Twinkel, twinkel, kleine ster",Twinkle Twinkle Little Star,Twinkle Twinkle Little Star,"Brille, brille, petite étoile","Funkel, funkel, kleiner Stern",Twinkle Twinkle Little Star,"Bersinar, bersinar, bintang kecil","Brilla, brilla, la stellina",반짝반짝 작은별,きらきら星,Twinkle Twinkle Little Star,Blinke Blinke Stjernelill,"Mrugaj, mrugaj gwiazdko ma","Brilha, brilha, estrelinha","Brilha, brilha, estrelinha","Мерцай, мерцай, маленькая звезда","Brilla, brilla, estrellita",Blinka Lilla Stjärna,ทวิงเคิล ทวิงเคิล ลิตเติ้ลสตาร์,"Parıldayın, parıldayın, küçük yıldız",Parla Sen Küçük Yıldız,Ngôi Sao Nhỏ Lấp Lánh
2,Jingle Bells,Jingle Bells,أجراس الميلاد,铃儿响叮当,鈴兒響叮噹,Jingle Bells,Jingle Bells,Jingle Bells,vive le vent,Jingle Bells,Jingle Bells,Jingle Bells,Campanellini,징글벨,ジングルベル,Jingle Bells,Bjelleklang,Dzwonki sań,Os Sinos de Tinir,Os Sinos de Tinir,Джингл Белз,Cascabeles,Bjällerklang,จิงเกิลเบลส์,Ziller Çalıyor,Jingle Bells,Tiếng Chuông Ngân
3,Canon,Canon,كانون,卡农,卡農,Canon,Canon,Canon,Canon,Canon,Canon,Canon,Canon,카논,カノン,Canon,Kanon,Kanon,Cânone,Cânone,Канон,Canon,Kanon,แคนอน,Kanon,Kanon,Canon
4,Two Tigers,Frère Jacques,الأخ جون,两只老虎,兩隻老虎,Vader Jacob,Frère Jacques,Frère Jacques,Frère Jacques,Bruder Jakob,Frère Jacques,Frère Jacques,Fra' Martino,프레르 자크,フレール・ジャック,Frère Jacques,Fader Jakob,Panie Janie,Frei João,Frei João,Братец Жак,Fray Santiago,Broder Jakob,บราเธอร์จอห์น,Kardeş Jakob,Frère Jacques,Frère Jacques
5,Happy New Year,"Oh my darling, Clementine",سنة جديدة سعيدة,新年快乐,新年快樂,Gelukkig nieuwjaar,"Oh my darling, Clementine","Oh my darling, Clementine",Bonne année,Happy New Year,"Oh my darling, Clementine",Selamat tahun baru,Buon Anno,해피 뉴 이어,ハッピー・ニュー・イヤー,"Oh my darling, Clementine",Godt nytt år,Szczęśliwego nowego roku,Feliz Ano Novo,Feliz Ano Novo,С новым годом,Feliz año nuevo,Gott nytt år,สวัสดีปีใหม่,Mutlu yıllar,"Ah canım, Clementine",Ôi Clementine Yêu Dấu Của Tôi
6,Beyer No.8,Beyer No.8,باير No.8,拜厄练习曲No.8,拜厄練習曲No.8,Beyer nr. 8,Beyer No.8,Beyer No.8,Beyer No.8,Beyer Nr.8,Beyer No.8,Beyer No.8,Beyer n. 8,베이어 8번,ねこふんじゃった,Beyer No.8,Beyer Nr.8,Beyer nr 8,Beyer No.8,Beyer No.8,Байер №8,Beyer No.8,Beyer No.8,Beyer No.8,Beyer No.8,Beyer No.8,Beyer No.8
7,Bluestone Alley,Bluestone Alley,زقاق أزرق,青石巷,青石巷,Bluestone Alley,Bluestone Alley,Bluestone Alley,Bluestone Alley,Bluestone Alley,Bluestone Alley,Alley Bluestone,Bluestone Alley,블루스톤 앨리,ブルーストーン・アレイ,Bluestone Alley,Bluestone Alley,Bluestone Alley,Bluestone Alley,Bluestone Alley,Цин Ши Сян,Bluestone Alley,Bluestone Alley,Bluestone Alley,Mavimsi sokak,Bluestone Alley,Bluestone Alley
8,Jasmine,Jasmine,الياسمين,茉莉花,茉莉花,Jasmijn,Jasmine,Jasmine,Jasmin,Jasmine,Jasmine,Melati,Gelsomino,모리화,ジャスミン,Jasmine,Jasmine,Jaśmin,Jasmim,Jasmim,Жасмин,Jasmine,Jasmin,ดอกมะลิ,Yasemin,Jasmine,Jasmine
9,Dolls and Bear Dancing,Dolls and Bear Dancing,الدمى والدب الراقص,洋娃娃和小熊跳舞,洋娃娃和小熊跳舞,Poppen en berendansen,Dolls and Bear Dancing,Dolls and Bear Dancing,Danse des poupées et de l’ours,Doll and Bear Dancing,Dolls and Bear Dancing,Boneka dan menari,Bambole e balli di orso,인형과 곰의 춤,はたけのポルカ,Dolls and Bear Dancing,Dukker og bjørnedans,Miś z laleczką,Bonecas e dança dos ursos,Bonecas e dança dos ursos,Куклы и медвежий танец,Muñecas y bailes de oso,Dockor och björndans,ดอลส์แอนด์แบร์แดนซ์,Bebekler ve ayı dansı,Bebekler ve Ayı Dansı,Búp bê và gấu nhảy múa
