,TID,English,Arabic,Chinese Simplified,Chinese Traditional,Dutch,Filipino,Finnish,French,German,Hindi,Indonesian,Italian,Korean,Japanese,Malay,Norwegian,Polish,Portuguese,Portuguese Brazil,Russian,Spanish,Swedish,Thai,Turkish (old),Turkish,Vietnamese
,,en,ar,zh-CN,zh-TW,nl,fil,fi,fr,de,hi,id,it,ko,ja,ms,no,pl,pt,pt,ru,es,sv,th,tr,tr,vi
1,_),_),,,,,,,,,,,,,,,,,,,,,,,,,
2,10.13 TPS (10.13 / 10.13 / 10.13),10.13 TPS (10.13 / 10.13 / 10.13),,,,,,,,,,,,,,,,,,,,,,,,,
3,(Butterfly) Etude Op.25 No.9 (PianoLiszt ver.),(Butterfly) Etude Op.25 No.9 (PianoLiszt ver.),,,,,,,,,,,,,,,,,,,,,,,,,
4,7.47 TPS (7.47 / 7.47 / 7.47),7.47 TPS (7.47 / 7.47 / 7.47),,,,,,,,,,,,,,,,,,,,,,,,,
5,(Chromatique) Etude Op.10 No.2,(Chromatique) Etude Op.10 No.2,,,,,,,,,,,,,,,,,,,,,,,,,
6,20.0 TPS (20.0 / 20.0 / 20.0),20.0 TPS (20.0 / 20.0 / 20.0),,,,,,,,,,,,,,,,,,,,,,,,,
7,(Sunshine) Etude Op.10 No.8 (PianoLiszt ver.),(Sunshine) Etude Op.10 No.8 (PianoLiszt ver.),,,,,,,,,,,,,,,,,,,,,,,,,
8,8.8 TPS (8.8 / 8.8 / 8.8),8.8 TPS (8.8 / 8.8 / 8.8),,,,,,,,,,,,,,,,,,,,,,,,,
9,(Torrent) Etude Op.10 No.4 (PianoLiszt ver.),(Torrent) Etude Op.10 No.4 (PianoLiszt ver.),,,,,,,,,,,,,,,,,,,,,,,,,
10,8.8 TPS (8.8 / 8.8 / 8.8),8.8 TPS (8.8 / 8.8 / 8.8),,,,,,,,,,,,,,,,,,,,,,,,,
11,(Waterfall) Etude Op.10 No.1,(Waterfall) Etude Op.10 No.1,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.07 TPS (0.07 / 0.07 / 0.07),0.07 TPS (0.07 / 0.07 / 0.07),,,,,,,,,,,,,,,,,,,,,,,,,
13,(WIP) The Hell Song,(WIP) The Hell Song,,,,,,,,,,,,,,,,,,,,,,,,,
14,8.0 TPS (8.0 / 8.0 / 8.0),8.0 TPS (8.0 / 8.0 / 8.0),,,,,,,,,,,,,,,,,,,,,,,,,
15,(Xi vs Ice)Scherzo -pain in rain-,(Xi vs Ice)Scherzo -pain in rain-,,,,,,,,,,,,,,,,,,,,,,,,,
16,7.59 TPS (7.05 / 7.05 / 8.67),7.59 TPS (7.05 / 7.05 / 8.67),,,,,,,,,,,,,,,,,,,,,,,,,
17,#Cookie Jar,#Cookie Jar,,,,,,,,,,,,,,,,,,,,,,,,,
18,0.03 TPS (0.03 / 0.03 / 0.03),0.03 TPS (0.03 / 0.03 / 0.03),,,,,,,,,,,,,,,,,,,,,,,,,
19,0.500 TPS,0.500 TPS,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.5 TPS (0.5 / 0.5 / 0.5),0.5 TPS (0.5 / 0.5 / 0.5),,,,,,,,,,,,,,,,,,,,,,,,,
21,1 000 000 NOTES,1 000 000 NOTES,,,,,,,,,,,,,,,,,,,,,,,,,
22,10.11 TPS (5.33 / 12.5 / 12.5),10.11 TPS (5.33 / 12.5 / 12.5),,,,,,,,,,,,,,,,,,,,,,,,,
23,1 000 TPS,1 000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,
24,2.33 TPS (2.33 / 2.33 / 2.33),2.33 TPS (2.33 / 2.33 / 2.33),,,,,,,,,,,,,,,,,,,,,,,,,
25,1 Age Long Song,1 Age Long Song,,,,,,,,,,,,,,,,,,,,,,,,,
26,0.27 TPS (0.27 / 0.27 / 0.27),0.27 TPS (0.27 / 0.27 / 0.27),,,,,,,,,,,,,,,,,,,,,,,,,
27,1 Con Vit,1 Con Vit,,,,,,,,,,,,,,,,,,,,,,,,,
28,13.33 TPS (13.33 / 13.33 / 13.33),13.33 TPS (13.33 / 13.33 / 13.33),,,,,,,,,,,,,,,,,,,,,,,,,
29,1 Day Long Song but its 10000 TPS,1 Day Long Song but its 10000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.27 TPS (0.27 / 0.27 / 0.27),0.27 TPS (0.27 / 0.27 / 0.27),,,,,,,,,,,,,,,,,,,,,,,,,
31,1 Day Long Song,1 Day Long Song,,,,,,,,,,,,,,,,,,,,,,,,,
32,0.27 TPS (0.27 / 0.27 / 0.27),0.27 TPS (0.27 / 0.27 / 0.27),,,,,,,,,,,,,,,,,,,,,,,,,
33,1 Million Combo Tile,1 Million Combo Tile,,,,,,,,,,,,,,,,,,,,,,,,,
34,6.07 TPS (6.07 / 6.07 / 6.07),6.07 TPS (6.07 / 6.07 / 6.07),,,,,,,,,,,,,,,,,,,,,,,,,
35,1 MILLION TPS SONG,1 MILLION TPS SONG,,,,,,,,,,,,,,,,,,,,,,,,,
36,1000000.0 TPS (1000000.0 / 1000000.0 / 1000000.0),1000000.0 TPS (1000000.0 / 1000000.0 / 1000000.0),,,,,,,,,,,,,,,,,,,,,,,,,
37,1 Month Long Song but its 600000 TPS,1 Month Long Song but its 600000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,
38,0.27 TPS (0.27 / 0.27 / 0.27),0.27 TPS (0.27 / 0.27 / 0.27),,,,,,,,,,,,,,,,,,,,,,,,,
39,1 Month Long Song,1 Month Long Song,,,,,,,,,,,,,,,,,,,,,,,,,
40,0.27 TPS (0.27 / 0.27 / 0.27),0.27 TPS (0.27 / 0.27 / 0.27),,,,,,,,,,,,,,,,,,,,,,,,,
41,1 TPS,1 TPS,,,,,,,,,,,,,,,,,,,,,,,,,
42,1.0 TPS (1.0 / 1.0 / 1.0),1.0 TPS (1.0 / 1.0 / 1.0),,,,,,,,,,,,,,,,,,,,,,,,,
43,1 Week Long Song but its 100000 TPS,1 Week Long Song but its 100000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,
44,0.27 TPS (0.27 / 0.27 / 0.27),0.27 TPS (0.27 / 0.27 / 0.27),,,,,,,,,,,,,,,,,,,,,,,,,
45,1 Week Long Song,1 Week Long Song,,,,,,,,,,,,,,,,,,,,,,,,,
46,0.27 TPS (0.27 / 0.27 / 0.27),0.27 TPS (0.27 / 0.27 / 0.27),,,,,,,,,,,,,,,,,,,,,,,,,
47,1 Year Long Song but its 2147483.750 TPS,1 Year Long Song but its 2147483.750 TPS,,,,,,,,,,,,,,,,,,,,,,,,,
48,0.27 TPS (0.27 / 0.27 / 0.27),0.27 TPS (0.27 / 0.27 / 0.27),,,,,,,,,,,,,,,,,,,,,,,,,
49,1 Year Long Song,1 Year Long Song,,,,,,,,,,,,,,,,,,,,,,,,,
50,0.27 TPS (0.27 / 0.27 / 0.27),0.27 TPS (0.27 / 0.27 / 0.27),,,,,,,,,,,,,,,,,,,,,,,,,
51,1cm,1cm,,,,,,,,,,,,,,,,,,,,,,,,,
52,8.73 TPS (8.47 / 8.73 / 9.0),8.73 TPS (8.47 / 8.73 / 9.0),,,,,,,,,,,,,,,,,,,,,,,,,
53,1M Long Tile,1M Long Tile,,,,,,,,,,,,,,,,,,,,,,,,,
54,5.93 TPS (5.93 / 5.93 / 5.93),5.93 TPS (5.93 / 5.93 / 5.93),,,,,,,,,,,,,,,,,,,,,,,,,
55,2 000 TPS,2 000 TPS,,,,,,,,,,,,,,,,,,,,,,,,,
56,2.33 TPS (2.33 / 2.33 / 2.33),2.33 TPS (2.33 / 2.33 / 2.33),,,,,,,,,,,,,,,,,,,,,,,,,
57,2 Concert Etudes S.145 No.1 (Waldesrauschen),2 Concert Etudes S.145 No.1 (Waldesrauschen),,,,,,,,,,,,,,,,,,,,,,,,,
58,9.5 TPS (9.5 / 9.5 / 9.5),9.5 TPS (9.5 / 9.5 / 9.5),,,,,,,,,,,,,,,,,,,,,,,,,
59,2 Concert Etudes S.145 No.2 (Gnomenreigen),2 Concert Etudes S.145 No.2 (Gnomenreigen),,,,,,,,,,,,,,,,,,,,,,,,,
