Id,Mid,Type,Lock,NeedLv,NeedGold,NeedRV,NeedDiamond,Musiclevel,RewarID,LocalMusicVer,Recommend,MusicCard,FavoriteRate,Playmark,Stylelabel,Fallingrate,TID,,GoldenSong,MusicTime,HomeOrder,VipMusicVersion,ProduceId,card_selection,FeatureDateRange
序号,唯一标识,歌曲类型:1=等级 2=购买 3=竞技场 10=班级歌曲 15=FB 16=流行,解锁方式 1等级 2金币 13钻石 14VIP 15FB 16视频 17等级歌音乐钥匙 18音乐钥匙 19内购解锁 22专辑解锁,所需等级,解锁需花费金币,Need to watch RV in hybrid unlock,解锁需要钻石数,X=（歌曲速度-60）/40,关卡100X 购买200X,判断是否为最新歌曲,推荐歌曲,对应头部卡片,热门指数,玩法备注：1黑块2长条3双黑4狂戳5滑块6爆裂块,风格备注：1民谣 2奏鸣曲 3练习曲 4艺术歌曲 5夜曲 6进行曲 7舞曲 8探戈歌曲 9钢琴小品 10交响曲 11变奏曲 12小奏鸣曲 13小夜曲 14回旋曲 15拉格泰姆 16歌剧序曲 17创意曲 18幽默曲 19组曲 20未知 21即兴曲 22管弦乐曲 23协奏曲 24狂想曲 25赋格 26前奏曲 27歌剧选段 28浪漫曲 29重奏曲 30大提琴组曲 31小佐达坎 32中国乐曲 33沉思曲 34安魂曲 35托卡塔 36梦幻曲 37间奏曲 38宗教歌曲 39康塔塔 40帕蒂塔 41随想曲 42沉重 43急促 44欢快 45活泼 46抒情 47中性 48忧伤 49明亮 50热烈 51清新,备注：X表示试玩片段降速的百分比，0表示试玩片段不降速,,难度分档1：X<=300，2：300<X<=360，3：X>360,首页歌曲推荐标记（1 有效）,歌曲生效时间戳,Home页排序,VIP歌曲期数,商品id,内购歌曲卡,
1,100001,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_8,1,,,1,,,,
2,100002,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_6,1,,,2,,,,
3,100003,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_11,1,,,3,,,,
4,100004,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_7,1,,,4,,,,
5,100005,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_7,1,,,5,,,,
6,100006,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_1,1,,,6,,,,
7,100007,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_7,1,,,7,,,,
8,100008,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_6,1,,,8,,,,
9,100009,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_1,1,,,9,,,,
10,100010,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_1,1,,,10,,,,
11,100011,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_8,1,,,11,,,,
12,100012,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_3,1,,,12,,,,
13,100013,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_1,1,,,13,,,,
14,100014,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_9,1,,,14,,,,
15,100015,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_1,1,,,15,,,,
16,100016,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_1,1,,,16,,,,
17,100017,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_6,1,,,17,,,,
18,100018,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_11,1,,,18,,,,
19,100019,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_1,1,,,19,,,,
20,100020,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_1,1,,,20,,,,
21,100021,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_2,1,,,21,,,,
22,100022,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_1,1,,,22,,,,
23,100023,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_1,1,,,23,,,,
24,100024,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_1,1,,,24,,,,
25,100025,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_1,1,,,25,,,,
26,100026,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_7,1,,,26,,,,
27,100027,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_5,1,,,27,,,,
28,100028,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_3,1,,,28,,,,
29,100029,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_7,1,,,29,,,,
30,100030,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_6,1,,,30,,,,
31,100031,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_7,1,,,31,,,,
32,100032,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_9,1,,,32,,,,
33,100033,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_7,1,,,33,,,,
34,100034,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_4,1,,,34,,,,
35,100035,2,2,,0,,0,1,1000,,,,50,1,1,,song_tag_2,1,,,35,,,,
