Id,Mid,BPM,,Ratio,MusicJson,Musician,Acceleration,AniID,BridgeAniID
音乐ID[int],,,基础音符,歌曲速度,音乐JSON文件[string],音乐家,竞技场加速度,特效索引,过渡特效索引
101,100001,152,0.25,608.0,_),10.13 TPS (10.13 / 10.13 / 10.13),,,
102,100001,152,0.25,608.0,_),,,,
103,100001,152,0.25,608.0,_),,,,
201,100002,112,0.25,448.0,(Butterfly) Etude Op.25 No.9 (PianoLiszt ver.),7.47 TPS (7.47 / 7.47 / 7.47),,,
202,100002,112,0.25,448.0,(Butterfly) Etude Op.25 No.9 (PianoLiszt ver.),,,,
203,100002,112,0.25,448.0,(Butterfly) Etude Op.25 No.9 (PianoLiszt ver.),,,,
301,100003,220,0.125,1760.0,(Chromatique) Etude Op.10 No.2,20.0 TPS (20.0 / 20.0 / 20.0),,,
302,100003,220,0.125,1760.0,(Chromatique) Etude Op.10 No.2,,,,
303,100003,220,0.125,1760.0,(Chromatique) Etude Op.10 No.2,,,,
401,100004,132,0.25,528.0,(Sunshine) Etude Op.10 No.8 (PianoLiszt ver.),8.8 TPS (8.8 / 8.8 / 8.8),,,
402,100004,132,0.25,528.0,(Sunshine) Etude Op.10 No.8 (PianoLiszt ver.),,,,
403,100004,132,0.25,528.0,(Sunshine) Etude Op.10 No.8 (PianoLiszt ver.),,,,
501,100005,280,0.25,1120.0,(Torrent) Etude Op.10 No.4 (PianoLiszt ver.),8.8 TPS (8.8 / 8.8 / 8.8),,,
502,100005,280,0.25,1120.0,(Torrent) Etude Op.10 No.4 (PianoLiszt ver.),,,,
503,100005,280,0.25,1120.0,(Torrent) Etude Op.10 No.4 (PianoLiszt ver.),,,,
601,100006,1,0.25,4.0,(Waterfall) Etude Op.10 No.1,0.07 TPS (0.07 / 0.07 / 0.07),,,
602,100006,1,0.25,4.0,(Waterfall) Etude Op.10 No.1,,,,
603,100006,1,0.25,4.0,(Waterfall) Etude Op.10 No.1,,,,
701,100007,120,0.25,480.0,(WIP) The Hell Song,8.0 TPS (8.0 / 8.0 / 8.0),,,
702,100007,120,0.25,480.0,(WIP) The Hell Song,,,,
703,100007,120,0.25,480.0,(WIP) The Hell Song,,,,
801,100008,423,1,423.0,(Xi vs Ice)Scherzo -pain in rain-,7.59 TPS (7.05 / 7.05 / 8.67),,,
802,100008,423,1,423.0,(Xi vs Ice)Scherzo -pain in rain-,,,,
803,100008,423,1,423.0,(Xi vs Ice)Scherzo -pain in rain-,,,,
901,100009,1,0.5,2.0,#Cookie Jar,0.03 TPS (0.03 / 0.03 / 0.03),,,
902,100009,1,0.5,2.0,#Cookie Jar,,,,
903,100009,1,0.5,2.0,#Cookie Jar,,,,
1001,100010,7.5,0.25,30.0,0.500 TPS,0.5 TPS (0.5 / 0.5 / 0.5),,,
1002,100010,7.5,0.25,30.0,0.500 TPS,,,,
1003,100010,7.5,0.25,30.0,0.500 TPS,,,,
1101,100011,80,0.25,320.0,1 000 000 NOTES,10.11 TPS (5.33 / 12.5 / 12.5),,,
1102,100011,80,0.25,320.0,1 000 000 NOTES,,,,
