SongName,BaseBPM,first,second,third,firstBB,secondBB,thirdBB,firstTPS,secondTPS,thirdTPS,avgTPS
_).json,152,152,152,152,0.25,0.25,0.25,10.13,10.13,10.13,10.13
(Butterfly) Etude Op.25 No.9 (PianoLiszt ver.).json,112,112,112,112,0.25,0.25,0.25,7.47,7.47,7.47,7.47
(Chromatique) Etude Op.10 No.2.json,220,150,150,150,0.125,0.125,0.125,20.0,20.0,20.0,20.0
(Sunshine) Etude Op.10 No.8 (PianoLiszt ver.).json,132,132,132,132,0.25,0.25,0.25,8.8,8.8,8.8,8.8
(Torrent) Etude Op.10 No.4 (PianoLiszt ver.).json,280,132,132,132,0.25,0.25,0.25,8.8,8.8,8.8,8.8
(Waterfall) Etude Op.10 No.1.json,1,1,1,1,0.25,0.25,0.25,0.07,0.07,0.07,0.07
(WIP) The Hell Song.json,120,120,120,120,0.25,0.25,0.25,8.0,8.0,8.0,8.0
(Xi vs Ice)Scherzo -pain in rain-.json,423,423,423,520,1,1,1,7.05,7.05,8.67,7.59
#Cookie Jar.json,1,1,1,1,0.5,0.5,0.5,0.03,0.03,0.03,0.03
0.500 TPS.json,7.5,7.5,7.5,7.5,0.25,0.25,0.25,0.5,0.5,0.5,0.5
1 000 000 NOTES.json,80,80,187.5,187.5,0.25,0.25,0.25,5.33,12.5,12.5,10.11
1 000 TPS.json,35,35,35,35,0.25,0.25,0.25,2.33,2.33,2.33,2.33
1 Age Long Song.json,1,1,1,1,0.0625,0.0625,0.0625,0.27,0.27,0.27,0.27
1 Con Vit.json,200,200,200,200,0.25,0.25,0.25,13.33,13.33,13.33,13.33
1 Day Long Song but its 10000 TPS.json,1,1,1,1,0.0625,0.0625,0.0625,0.27,0.27,0.27,0.27
1 Day Long Song.json,1,1,1,1,0.0625,0.0625,0.0625,0.27,0.27,0.27,0.27
1 Million Combo Tile.json,91,91,91,91,0.25,0.25,0.25,6.07,6.07,6.07,6.07
1 MILLION TPS SONG.json,3750000,3750000,3750000,3750000,0.0625,0.0625,0.0625,1000000.0,1000000.0,1000000.0,1000000.0
1 Month Long Song but its 600000 TPS.json,1,1,1,1,0.0625,0.0625,0.0625,0.27,0.27,0.27,0.27
1 Month Long Song.json,1,1,1,1,0.0625,0.0625,0.0625,0.27,0.27,0.27,0.27
1 TPS.json,15,15,15,15,0.25,0.25,0.25,1.0,1.0,1.0,1.0
1 Week Long Song but its 100000 TPS.json,1,1,1,1,0.0625,0.0625,0.0625,0.27,0.27,0.27,0.27
1 Week Long Song.json,1,1,1,1,0.0625,0.0625,0.0625,0.27,0.27,0.27,0.27
1 Year Long Song but its 2147483.750 TPS.json,1,1,1,1,0.0625,0.0625,0.0625,0.27,0.27,0.27,0.27
1 Year Long Song.json,1,1,1,1,0.0625,0.0625,0.0625,0.27,0.27,0.27,0.27
1cm.json,127,127,131,135,0.25,0.25,0.25,8.47,8.73,9.0,8.73
1M Long Tile.json,89,89,89,89,0.25,0.25,0.25,5.93,5.93,5.93,5.93
2 000 TPS.json,35,35,35,35,0.25,0.25,0.25,2.33,2.33,2.33,2.33
2 Concert Etudes S.145 No.1 (Waldesrauschen).json,285,285,285,285,0.5,0.5,0.5,9.5,9.5,9.5,9.5
2 Concert Etudes S.145 No.2 (Gnomenreigen).json,92,92,103,103,0.25,0.25,0.25,6.13,6.87,6.87,6.62
2 Phut Hon (Creepy ver.).json,73,73,73,73,0.125,0.125,0.125,9.73,9.73,9.73,9.73
2 Phut Hon (Special Ver.).json,73,73,73,73,0.09375,0.09375,0.09375,12.98,12.98,12.98,12.98
2 Phút Hon.json,73,73,73,73,0.125,0.125,0.125,9.73,9.73,9.73,9.73
2 Polish Songs B.51 (Czary).json,63,63,63,63,0.25,0.25,0.25,4.2,4.2,4.2,4.2
2 Polish Songs B.131 (Rêverie - Dumka).json,25,25,25,25,0.25,0.25,0.25,1.67,1.67,1.67,1.67
2 Preludes Op.39 No.1.json,360,360,360,360,1,1,1,6.0,6.0,6.0,6.0
2 Preludes Op.39 No.2.json,360,360,360,360,1,1,1,6.0,6.0,6.0,6.0
2 Rondos Op.51 No.1.json,300,300,300,300,0.75,0.75,0.75,6.67,6.67,6.67,6.67
2 Rondos Op.51 No.2.json,162,162,162,162,0.3125,0.3125,0.3125,8.64,8.64,8.64,8.64
2AM (Animal Crossing_ New Horizons).json,102,102,102,102,0.75,0.75,0.75,2.27,2.27,2.27,2.27
3 Concert Etudes S.144 No.1 (Il Lamento).json,480,480,480,480,0.75,0.75,0.75,10.67,10.67,10.67,10.67
3 Concert Etudes S.144 No.2 (La Leggierezza).json,270,270,270,270,0.5,0.5,0.5,9.0,9.0,9.0,9.0
3 Concert Etudes S.144 No.3 (Un Sospiro).json,129,129,132,135,0.25,0.25,0.25,8.6,8.8,9.0,8.8
3 Ecossaises No.1 Op.72-3.json,150,150,150,150,0.25,0.25,0.25,10.0,10.0,10.0,10.0
3 Ecossaises No.2 Op.72-3.json,150,150,150,150,0.25,0.25,0.25,10.0,10.0,10.0,10.0
3 Ecossaises No.3 Op.72-3 (Another Ver.).json,172,172,172,172,0.1875,0.1875,0.1875,15.29,15.29,15.29,15.29
3 Ecossaises No.3 Op.72-3.json,172,172,172,172,0.25,0.25,0.25,11.47,11.47,11.47,11.47
3 Ecossaises Op.72 No.3.json,60,60,62,64,0.125,0.125,0.125,8.0,8.27,8.53,8.27
3 Poetic Polkas Op.8 No.1.json,240,240,244,248,1,1,1,4.0,4.07,4.13,4.07
3 Polkas de salon Op.7 No.3.json,60,60,62,64,0.25,0.25,0.25,4.0,4.13,4.27,4.13
3DS Music Park.json,68,68,68,68,0.25,0.25,0.25,4.53,4.53,4.53,4.53
3rd Eye.json,75,75,77,77,0.25,0.25,0.25,5.0,5.13,5.13,5.09
4.5 TPS Le Vent Le Cri.json,174,174,174,174,0.375,0.375,0.375,7.73,7.73,7.73,7.73
5.json,480,480,480,480,0.75,0.25,0.75,10.67,32.0,10.67,17.78
5AM (Animal Crossing_ New Horizons).json,70,70,70,70,0.5,0.5,0.5,2.33,2.33,2.33,2.33
6 Bagatelles Op.126 No.1.json,240,240,240,240,0.75,0.75,0.75,5.33,5.33,5.33,5.33
6 Bagatelles Op.126 No.2.json,390,390,390,390,0.75,0.75,0.75,8.67,8.67,8.67,8.67
6 Bagatelles Op.126 No.3.json,120,120,120,120,0.75,0.75,0.75,2.67,2.67,2.67,2.67
6 Bagatelles Op.126 No.4.json,810,810,810,810,1.25,1.25,1.25,10.8,10.8,10.8,10.8
6 Bagatelles Op.126 No.5.json,324,324,324,324,0.75,0.75,0.75,7.2,7.2,7.2,7.2
